id;nhogar;miembro;aesc_sosten;ISEI_sosten;patrimonio;ios_cod;ios;iosterciles;ioscuartiles
1007;1;2;7;24;5;1;-0,83;1;1
1008;1;1;17;45;4;1;0,54;3;3
1009;1;1;12;53;1;1;-0,10;2;3
1010;1;1;19;65;5;1;1,34;3;4
1011;1;2;9;63;5;1;0,83;3;4
1012;1;1;17;65;5;1;1,36;3;4
1013;1;1;17;85;4;1;1,67;3;4
1014;1;1;11;45;5;1;0,49;3;3
1015;1;1;7;32;5;1;-0,36;2;2
1016;1;1;7;36;5;1;-0,23;2;2
1017;1;1;7;60;5;1;-0,09;2;2
1018;1;1;12;45;5;1;0,27;2;3
1019;1;1;12;55;4;1;0,68;3;4
1020;1;1;12;56;5;1;0,95;3;4
1021;1;1;7;45;4;1;-0,19;2;2
1022;1;1;17;67;5;1;1,41;3;4
1023;1;1;14;45;5;1;0,26;2;3
1024;1;1;7;60;5;1;-0,09;2;2
1025;1;1;9;56;5;1;0,61;3;3
1026;1;1;7;49;5;1;0,17;2;3
1027;1;1;7;45;4;1;-0,19;2;2
1028;1;2;17;88;5;1;1,74;3;4
1029;1;1;16;52;4;1;0,64;3;3
1030;1;1;10;44;5;1;0,35;2;3
1031;1;1;7;27;5;1;-0,75;1;1
1032;1;1;15;68;5;1;1,65;3;4
1033;1;2;12;45;5;1;0,04;2;2
1034;1;2;7;45;5;1;0,05;2;3
1035;1;1;7;45;2;1;-0,98;1;1
1036;1;2;7;57;4;1;0,18;2;3
1037;1;1;2;68;4;1;-0,63;1;2
1038;1;2;15;56;5;1;0,66;3;3
1039;1;1;10;41;5;1;-0,28;2;2
1040;1;2;17;41;5;1;0,48;2;3
1041;1;1;12;45;5;1;0,27;2;3
1042;1;1;16;61;5;1;1,55;3;4
1043;1;2;17;86;5;1;1,68;3;4
1044;1;1;12;45;5;1;0,04;2;2
1045;1;2;7;24;5;1;-1,06;1;1
1046;1;2;7;48;4;1;-0,10;2;3
1047;1;1;17;89;4;1;2,29;3;4
1048;1;1;7;63;5;1;0,27;2;3
1049;1;1;17;66;3;1;0,89;3;4
1050;1;2;12;41;5;1;-0,06;2;2
1051;1;1;7;32;4;1;-0,60;1;1
1052;1;1;10;43;5;1;-0,23;2;2
1053;1;1;15;61;5;1;1,04;3;4
1054;1;1;15;52;5;1;0,78;3;4
1055;1;2;17;89;5;1;2,53;3;4
1056;1;1;7;32;5;1;-0,84;1;1
1057;1;1;10;58;5;1;0,79;3;4
1058;1;1;19;64;5;1;1,53;3;4
1059;1;3;7;17;5;1;-1,25;1;1
1060;1;1;17;45;5;1;0,79;3;4
1061;1;2;15;36;5;1;0,65;3;4
1062;1;1;12;48;5;1;0,12;2;3
1063;1;1;12;57;5;1;0,61;3;3
1064;1;1;10;50;5;1;-0,04;2;2
1065;1;1;1;19;5;1;-1,59;1;1
1066;1;1;7;32;5;1;-0,84;1;1
1067;1;1;12;41;5;1;-0,06;2;2
1068;1;1;17;28;2;1;-0,44;2;2
1069;1;1;15;61;5;1;1,44;3;4
1070;1;2;17;89;5;1;1,77;3;4
1071;1;2;12;50;5;1;0,42;2;3
1072;1;3;7;41;5;1;-0,35;2;2
1073;1;1;15;68;5;1;1,65;3;4
1074;1;1;12;37;4;1;0,11;2;3
1075;1;1;12;41;5;1;0,16;2;3
1076;1;1;10;25;5;1;-0,50;1;2
1077;1;2;7;34;4;1;-0,53;1;2
1078;1;1;9;41;5;1;-0,15;2;2
1079;1;1;10;45;5;1;-0,17;2;2
1080;1;2;15;64;5;1;1,12;3;4
1081;1;1;7;36;2;1;-0,95;1;1
1082;1;1;1;18;5;1;-1,46;1;1
1083;1;1;17;71;1;1;0,41;2;3
1084;1;1;7;32;5;1;-0,36;2;2
1085;1;1;7;35;5;1;-0,26;2;2
1086;1;1;15;56;5;1;0,89;3;4
1087;1;2;7;41;5;1;-0,08;2;3
1088;1;1;14;54;1;1;-0,37;2;2
1089;1;1;17;42;1;1;-0,37;2;2
1090;1;2;12;45;5;1;0,27;2;3
1091;1;1;7;45;5;1;-0,49;1;2
1092;1;2;7;16;5;1;-1,06;1;1
1093;1;2;17;38;5;1;0,94;3;4
1094;1;2;7;27;1;1;-1,85;1;1
1095;1;1;12;42;4;1;-0,25;2;2
1096;1;3;15;41;5;1;0,26;2;3
1097;1;1;7;25;5;1;-0,58;1;2
1098;1;1;7;63;5;1;0,61;3;3
1099;1;1;15;41;5;1;0,47;3;3
1100;1;2;15;58;4;1;0,70;3;3
1101;1;2;12;63;5;1;1,17;3;4
1102;1;1;7;57;5;1;0,42;3;3
1103;1;1;12;45;5;1;0,60;3;3
1104;1;1;15;71;5;1;1,07;3;4
1105;1;2;5;45;5;1;-0,45;2;2
1106;1;1;15;71;5;1;1,07;3;4
1107;1;1;3;31;5;1;-0,83;1;1
1108;1;1;12;61;5;1;0,73;3;3
1109;1;3;3;37;5;1;-1,14;1;1
1110;1;1;19;89;1;1;1,11;3;4
1111;1;1;17;63;4;1;0,85;3;3
1112;1;1;12;52;5;1;0,82;3;4
1113;1;1;10;45;5;1;0,07;2;2
1114;1;2;12;61;5;1;0,47;2;3
1115;1;1;7;47;5;1;-0,18;2;2
1116;1;1;7;57;5;1;0,10;2;3
1117;1;2;12;38;5;1;-0,14;2;2
1118;1;1;12;45;5;1;0,04;2;2
1119;1;1;2;23;5;1;-1,19;1;1
1120;1;1;12;49;5;1;0,15;2;3
1121;1;1;12;60;5;1;0,45;2;3
1122;1;1;17;50;5;1;0,72;3;3
1123;1;2;3;45;4;1;-0,63;1;1
1124;1;2;17;45;4;1;0,92;3;4
1125;1;1;0;18;5;1;-1,57;1;1
1126;1;1;7;37;5;1;-0,47;2;2
1127;1;2;17;66;5;1;1,81;3;4
1128;1;1;7;41;5;1;-0,08;2;3
1129;1;1;7;34;4;1;-0,53;1;2
1130;1;1;7;37;4;1;-0,71;1;2
1131;1;2;17;85;5;1;1,66;3;4
1132;1;3;15;43;5;1;0,31;2;3
1133;1;1;3;17;5;1;-1,44;1;1
1134;1;1;7;45;5;1;-0,49;1;2
1135;1;1;2;22;5;1;-1,40;1;1
1136;1;1;0;32;1;1;-2,32;1;1
1137;1;1;7;38;5;1;-0,44;2;2
1138;1;1;12;45;5;1;0,04;2;2
1139;1;1;7;36;5;1;-0,49;1;2
1140;1;1;7;17;5;1;-1,25;1;1
1141;1;1;17;61;5;1;1,24;3;4
1142;1;1;7;16;3;1;-1,56;1;1
1143;1;1;2;16;5;1;-1,41;1;1
1144;1;1;0;16;5;1;-1,78;1;1
1145;1;2;7;16;5;1;-1,06;1;1
1146;1;1;2;23;5;1;-1,19;1;1
1147;1;1;7;45;5;1;-0,24;2;2
1148;1;1;7;17;1;1;-2,03;1;1
1149;1;2;7;17;1;1;-2,12;1;1
1150;1;2;3;27;1;1;-2,28;1;1
1151;1;1;2;21;1;1;-2,55;1;1
1152;1;1;7;45;1;1;-1,36;1;1
1153;1;1;6;37;1;1;-1,69;1;1
1154;1;1;7;20;1;1;-1,94;1;1
1155;1;1;;;1;0;;;
1156;1;1;2;40;5;1;-0,90;1;1
1157;1;1;7;32;1;1;-1,71;1;1
1158;1;2;3;45;5;1;-0,65;1;2
1159;1;1;7;17;1;1;-2,03;1;1
1160;1;2;12;16;5;1;-0,30;2;2
1161;1;2;12;26;1;1;-1,34;1;1
1162;1;1;7;36;5;1;-0,74;1;2
1163;1;1;;;1;0;;;
1164;1;2;7;16;5;1;-1,06;1;1
1165;1;1;7;16;5;1;-1,06;1;1
1166;1;1;7;32;5;1;-0,61;1;2
1167;1;1;3;17;1;1;-2,44;1;1
1168;1;1;7;17;1;1;-1,78;1;1
1169;1;1;2;16;4;1;-1,82;1;1
1170;1;1;9;53;1;1;-0,43;2;2
1171;1;1;0;16;5;1;-1,78;1;1
1172;1;1;7;16;3;1;-1,56;1;1
1173;1;1;7;24;5;1;-1,06;1;1
1174;1;1;0;16;2;1;-2,53;1;1
1175;1;2;3;16;5;1;-1,71;1;1
1176;1;1;7;16;5;1;-1,06;1;1
1177;1;1;0;45;5;1;-0,73;1;1
1178;1;1;3;23;1;1;-2,04;1;1
1179;1;1;3;32;2;1;-1,93;1;1
1180;1;1;4;24;1;1;-1,89;1;1
1181;1;1;4;14;5;1;-1,65;1;1
1182;1;1;0;16;1;1;-2,77;1;1
1183;1;1;7;32;5;1;-0,36;2;2
1184;1;1;3;16;5;1;-1,30;1;1
1185;1;1;12;17;5;1;-0,52;1;2
1186;1;1;15;61;4;1;0,79;3;4
1187;1;1;7;27;5;1;-0,98;1;1
1188;1;1;12;26;5;1;-0,47;2;2
1189;1;1;12;28;5;1;-0,21;2;2
1190;1;1;7;40;3;1;-0,58;1;2
1191;1;2;7;32;5;1;-0,84;1;1
1192;1;1;7;35;1;1;-1,63;1;1
1193;1;1;1;53;5;1;-0,37;2;2
1194;1;2;2;24;3;1;-1,64;1;1
